X,Y,state_name,lga_code_2,lga_name_2,erp_2024,erp_change,erp_chan_1,area_km2,pop_densit,green_spac,pop_dens_1,Green_Pct,Region
145.0851469,-37.7304277,Victoria,20660,Banyule,131931,2324,1.7931,62.5402,2109.539,1284.0967,2109.539144,20.5323408,Metropolitan
145.0630952,-37.81927302,Victoria,21110,Boroondara,178008,3375,1.9326,60.1776,2958.044,967.9082,2958.044189,16.08419412,Metropolitan
144.8033167,-37.74753986,Victoria,21180,Brimbank,198152,2093,1.0675,123.3991,1605.782,2772.7155,1605.781566,22.46949532,Metropolitan
145.5726912,-38.0830007,Victoria,21450,Cardinia,130383,3451,2.7188,1282.5671,101.6578,24047.5315,101.6578392,18.74953092,Metropolitan
145.3090168,-38.10433707,Victoria,21610,Casey,405415,13355,3.4064,409.4287,990.1968,5800.8432,990.1968279,14.16814014,Metropolitan
145.0143392,-37.73344542,Victoria,21890,Darebin,159963,4250,2.7294,53.4712,2991.573,1116.9293,2991.573034,20.88842779,Metropolitan
145.1738048,-38.13459505,Victoria,22170,Frankston,144615,1807,1.2653,129.5981,1115.873,2423.1063,1115.872841,18.69708198,Metropolitan
145.0426084,-37.90119283,Victoria,22310,Glen Eira,161057,4160,2.6514,38.6908,4162.669,382.2909,4162.669162,9.880666722,Metropolitan
144.8297637,-37.85470733,Victoria,23110,Hobsons Bay,95633,1893,2.0194,64.2405,1488.671,1779.2741,1488.671477,27.69707739,Metropolitan
144.8245403,-37.58916911,Victoria,23270,Hume,271709,8968,3.4132,503.8488,539.2669,4941.1628,539.2669388,9.806836495,Metropolitan
145.2586755,-37.88896908,Victoria,23670,Knox,163302,1537,0.9501,113.9114,1433.588,2779.795,1433.587859,24.40313261,Metropolitan
145.1885666,-37.7615772,Victoria,24210,Manningham,131761,2218,1.7122,113.3479,1162.448,2445.4676,1162.44765,21.57488229,Metropolitan
145.2652674,-37.80485916,Victoria,24410,Maroondah,119354,1922,1.6367,61.4097,1943.569,1028.8407,1943.569176,16.75371643,Metropolitan
144.943772,-37.81064086,Victoria,24600,Melbourne,189381,11596,6.5225,37.5452,5044.08,1186.7385,5044.080202,31.60826151,Metropolitan
144.6259878,-37.69299255,Victoria,24650,Melton,219697,13676,6.6382,527.5374,416.4577,4031.9849,416.4576767,7.643031376,Metropolitan
145.0016112,-37.13751727,Victoria,24850,Mitchell,56384,2672,4.9747,2862.0837,19.7003,649.7245,19.70033231,0.227011006,Regional
145.1440394,-37.89712838,Victoria,24970,Monash,209268,5581,2.74,81.4829,2568.244,1338.9229,2568.24438,16.43194953,Metropolitan
145.2368103,-37.62290156,Victoria,25710,Nillumbik,63693,434,0.6861,432.3373,147.3225,10796.6092,147.3224725,24.9726526,Metropolitan
144.9660282,-37.85189567,Victoria,25900,Port Phillip,112669,3084,2.8143,20.6141,5465.628,513.085,5465.627895,24.89000247,Metropolitan
145.0336631,-37.85794185,Victoria,26350,Stonnington,114038,2622,2.3533,25.651,4445.753,266.1559,4445.752602,10.37604382,Metropolitan
145.1550659,-37.83023543,Victoria,26980,Whitehorse,183462,4748,2.6568,64.2801,2854.103,1023.7322,2854.102592,15.92611399,Metropolitan
145.0776986,-37.54719935,Victoria,27070,Whittlesea,253204,8191,3.3431,489.6938,517.066,12348.6096,517.0659706,25.21700213,Metropolitan
144.6182583,-37.88663386,Victoria,27260,Wyndham,337009,12948,3.9955,542.0943,621.6797,21726.4124,621.6796598,40.07865864,Metropolitan
144.9985548,-37.80226759,Victoria,27350,Yarra,100706,3201,3.2829,19.5421,5153.284,473.7996,5153.284447,24.2450709,Metropolitan
145.6970426,-37.71426334,Victoria,27450,Yarra Ranges,160137,1465,0.9233,2468.2052,64.8799,157879.7452,64.87993786,63.96540498,Metropolitan